"GEOID","FULL_NAME","tract","county","state","variable.x","Hispanic","moe.x","variable.y","White","moe.y","variable","Total","moe","Hispanic_Percent","White_Percent","category","Neighborhood_type","indicator_other"
06001402801,"Census Tract 4028.01; Alameda County; California","Census Tract 4028.01","Alameda"," California","B03002_012",148,83,"B03002_003",869,225,"B03002_001",3254,626,4.54824830977259,26.7055931161647,"core","Other",NA
06001402802,"Census Tract 4028.02; Alameda County; California","Census Tract 4028.02","Alameda"," California","B03002_012",51,67,"B03002_003",329,199,"B03002_001",1430,248,3.56643356643357,23.006993006993,"core","Other",NA
06001402900,"Census Tract 4029; Alameda County; California","Census Tract 4029","Alameda"," California","B03002_012",182,76,"B03002_003",365,105,"B03002_001",1828,259,9.9562363238512,19.9671772428884,"core","Other",NA
06001403000,"Census Tract 4030; Alameda County; California","Census Tract 4030","Alameda"," California","B03002_012",62,50,"B03002_003",250,116,"B03002_001",2897,466,2.140144977563,8.62961684501208,"core","Other",NA
06001403100,"Census Tract 4031; Alameda County; California","Census Tract 4031","Alameda"," California","B03002_012",241,72,"B03002_003",767,201,"B03002_001",1941,284,12.4162802679031,39.5157135497166,"core","Other",NA
06001403301,"Census Tract 4033.01; Alameda County; California","Census Tract 4033.01","Alameda"," California","B03002_012",38,34,"B03002_003",187,185,"B03002_001",1830,382,2.07650273224044,10.2185792349727,"core","Other",NA
06001403302,"Census Tract 4033.02; Alameda County; California","Census Tract 4033.02","Alameda"," California","B03002_012",158,105,"B03002_003",1317,293,"B03002_001",2556,318,6.18153364632238,51.5258215962441,"core","Other",NA
06001403401,"Census Tract 4034.01; Alameda County; California","Census Tract 4034.01","Alameda"," California","B03002_012",238,143,"B03002_003",1154,281,"B03002_001",2717,387,8.75966139124034,42.4733161575267,"core","Other",NA
06001403402,"Census Tract 4034.02; Alameda County; California","Census Tract 4034.02","Alameda"," California","B03002_012",135,90,"B03002_003",493,166,"B03002_001",1134,175,11.9047619047619,43.4744268077601,"core","Other",NA
06001403501,"Census Tract 4035.01; Alameda County; California","Census Tract 4035.01","Alameda"," California","B03002_012",387,219,"B03002_003",1874,607,"B03002_001",4904,684,7.89151712887439,38.2137030995106,"core","Other",NA
06001403502,"Census Tract 4035.02; Alameda County; California","Census Tract 4035.02","Alameda"," California","B03002_012",324,128,"B03002_003",939,180,"B03002_001",1919,262,16.8837936425221,48.931735278791,"core","Other",NA
06001403600,"Census Tract 4036; Alameda County; California","Census Tract 4036","Alameda"," California","B03002_012",857,275,"B03002_003",1933,391,"B03002_001",5056,687,16.9501582278481,38.2318037974684,"core","Other",NA
06001403701,"Census Tract 4037.01; Alameda County; California","Census Tract 4037.01","Alameda"," California","B03002_012",305,104,"B03002_003",1222,298,"B03002_001",2909,348,10.4847026469577,42.0075627363355,"core","Other",NA
06001403702,"Census Tract 4037.02; Alameda County; California","Census Tract 4037.02","Alameda"," California","B03002_012",244,135,"B03002_003",1224,247,"B03002_001",2238,262,10.9025915996425,54.6916890080429,"core","Other",NA
